PREVIEWS DECEMBER VOL. 23 #1

PREVIEWS PUBLICATIONS					
FREE COMIC BOOK DAY					
PAGE 30					
MERCHANDISE					
SPOT	JAN13 0053	FCBD 2013 ORANGE WRIST BAND (C: 1-0-0)	4/10/2013	MSRP: $1.99	 = $
PAGE 31					
	JAN13 0054	FCBD 2013 COMM ARTIST JIM CHEUNG BLK T/S SM	4/10/2013	MSRP: $14.99	 = $
	JAN13 0055	FCBD 2013 COMM ARTIST JIM CHEUNG BLK T/S MED	4/10/2013	MSRP: $14.99	 = $
	JAN13 0056	FCBD 2013 COMM ARTIST JIM CHEUNG BLK T/S LG	4/10/2013	MSRP: $14.99	 = $
	JAN13 0057	FCBD 2013 COMM ARTIST JIM CHEUNG BLK T/S XL	4/10/2013	MSRP: $14.99	 = $
	JAN13 0058	FCBD 2013 COMM ARTIST JIM CHEUNG BLK T/S XXL	4/10/2013	MSRP: $17.99	 = $
	JAN13 0059	FCBD 2013 COMM ARTIST JIM CHEUNG WHITE T/S SM	4/10/2013	MSRP: $14.99	 = $
	JAN13 0060	FCBD 2013 COMM ARTIST JIM CHEUNG WHITE T/S MED	4/10/2013	MSRP: $14.99	 = $
	JAN13 0061	FCBD 2013 COMM ARTIST JIM CHEUNG WHITE T/S LG	4/10/2013	MSRP: $14.99	 = $
	JAN13 0062	FCBD 2013 COMM ARTIST JIM CHEUNG WHITE T/S XL	4/10/2013	MSRP: $14.99	 = $
	JAN13 0063	FCBD 2013 COMM ARTIST JIM CHEUNG WHITE T/S XXL	4/10/2013	MSRP: $17.99	 = $
	JAN13 0064	FCBD 2013 COMM ARTIST JIM CHEUNG CHARCOAL T/S SM	4/10/2013	MSRP: $14.99	 = $
	JAN13 0065	FCBD 2013 COMM ARTIST JIM CHEUNG CHARCOAL T/S MED	4/10/2013	MSRP: $14.99	 = $
	JAN13 0066	FCBD 2013 COMM ARTIST JIM CHEUNG CHARCOAL T/S LG	4/10/2013	MSRP: $14.99	 = $
	JAN13 0067	FCBD 2013 COMM ARTIST JIM CHEUNG CHARCOAL T/S XL	4/10/2013	MSRP: $14.99	 = $
	JAN13 0068	FCBD 2013 COMM ARTIST JIM CHEUNG CHARCOAL T/S XXL	4/10/2013	MSRP: $17.99	 = $
PAGE 16					
PREVIEWS PUBLICATIONS					
FI	JAN13 0069	PREVIEWS #294 MARCH 2013	2/27/2013	MSRP: $4.50	 = $
FI	JAN13 0070	MARVEL PREVIEWS MARCH 2013 EXTRAS	2/27/2013	MSRP: $1.25	 = $
FI	JAN13 0071	PREVIEWS #294 MAR 2013 CUSTOMER ORDER FORM	2/27/2013	SRP: PI	 = $
PAGE 44					
PREMIER PUBLISHERS					
DARK HORSE					
GEM	JAN13 0076	BPRD VAMPIRE #1 (OF 5)	3/27/2013	SRP: $3.50	 = $
PAGE 46					
SPOT	JAN13 0077	BPRD HELL ON EARTH #105 COLD DAY IN HELL #1 (OF 2)	3/20/2013	SRP: $3.50	 = $
PAGE 47					
	JAN13 0078	HELLBOY IN HELL #4	3/6/2013	SRP: $2.99	 = $
PAGE 48					
	JAN13 0079	COLDER #5 (OF 5) (MR)	3/6/2013	SRP: $3.99	 = $
	JAN13 0080	TO HELL YOU RIDE #4 (OF 5)	3/13/2013	SRP: $3.99	 = $
PAGE 49					
	JAN13 0081	CRIMINAL MACABRE FINAL NIGHT 30 DAYS XOVER #4 (OF 4)	3/27/2013	SRP: $3.99	 = $
SPOT	JAN13 0082	CRIMINAL MACABRE NO PEACE DEAD MEN TP (C: 0-1-2)	5/8/2013	SRP: $17.99	 = $
PAGE 50					
	JAN13 0083	BTVS SEASON 9 FREEFALL #19 NOTO CVR	3/13/2013	SRP: $2.99	 = $
	JAN13 0084	BTVS SEASON 9 FREEFALL #19 JEANTY VAR CVR	3/13/2013	SRP: $2.99	 = $
PAGE 51					
SPOT	JAN13 0085	BTVS SEASON 9 TP VOL 03 GUARDED (C: 0-1-2)	5/1/2013	SRP: $17.99	 = $
PAGE 52					
	JAN13 0086	ANGEL & FAITH #20 STEVE MORRIS CVR	3/27/2013	SRP: $2.99	 = $
	JAN13 0087	ANGEL & FAITH #20 REBEKAH ISAACS VAR CVR	3/27/2013	SRP: $2.99	 = $
PAGE 53					
	JAN13 0088	BUFFY THE VAMPIRE SLAYER WILLOW WONDERLAND #5 (OF 5) MACK CVR	3/6/2013	SRP: $2.99	 = $
	JAN13 0089	BUFFY THE VAMPIRE SLAYER WILLOW WONDERLAND #5 (OF 5) LARA VAR CVR	3/6/2013	SRP: $2.99	 = $
PAGE 54					
SPOT	JAN13 0090	DOMOVI GN (C: 0-1-2)	5/15/2013	SRP: $19.99	 = $
PAGE 55					
SPOT	JAN13 0091	MISTY CIRCUS HC (C: 0-1-2)	5/29/2013	SRP: $14.99	 = $
PAGE 56					
	JAN13 0092	CONAN THE BARBARIAN #14	3/20/2013	SRP: $3.50	 = $
	JAN13 0093	CHRONICLES KING CONAN TP VOL 05 BLACK DRAGONS (C: 0-1-2)	5/8/2013	SRP: $18.99	 = $
PAGE 57					
SPOT	JAN13 0094	MASSIVE #10	3/27/2013	SRP: $3.50	 = $
	JAN13 0095	MIND MGMT #9	3/20/2013	SRP: $3.99	 = $
PAGE 58					
GEM	JAN13 0096	SLEDGEHAMMER 44 #1	3/13/2013	SRP: $3.50	 = $
PAGE 60					
	JAN13 0097	BLACK BEETLE #3 (OF 4) NO WAY OUT	3/20/2013	SRP: $3.99	 = $
	JAN13 0098	ANSWER #3 (OF 4)	3/27/2013	SRP: $3.99	 = $
PAGE 61					
	JAN13 0099	DARK HORSE PRESENTS #22 (MR)	3/20/2013	SRP: $7.99	 = $
PAGE 62					
	JAN13 0100	BUDDY COPS ONE SHOT	3/13/2013	SRP: $2.99	 = $
	JAN13 0101	WILD ROVER FT THE SACRIFICE ONE SHOT (MR)	3/20/2013	SRP: $2.99	 = $
PAGE 63					
	JAN13 0102	47 RONIN #3 (OF 5)	3/6/2013	SRP: $3.99	 = $
PAGE 64					
	JAN13 0103	MISTER X HARD CANDY ONE SHOT	3/27/2013	SRP: $2.99	 = $
SPOT	JAN13 0104	RIPD CITY OF THE DAMNED TP (C: 0-1-2)	5/1/2013	SRP: $14.99	 = $
PAGE 65					
	JAN13 0105	EXILE TO BABYLON TP (C: 0-1-2)	5/22/2013	SRP: $14.99	 = $
PAGE 66					
SPOT	JAN13 0106	ART OF REMEMBER ME HC (C: 0-1-2)	5/15/2013	SRP: $39.99	 = $
PAGE 67					
SPOT	JAN13 0107	DRAGON AGE UNTIL WE SLEEP #1 (OF 3)	3/27/2013	SRP: $3.99	 = $
PAGE 68					
SPOT	JAN13 0109	MASS EFFECT LIBRARY EDITION HC VOL 01 (C: 0-1-2)	5/22/2013	SRP: $59.99	 = $
PAGE 69					
SPOT	JAN13 0110	STAR WARS LEGACY #1 PRISONER O/T FLOATING WORLD (C: 1-0-0)	3/20/2013	SRP: $2.99	 = $
PAGE 70					
	JAN13 0111	STAR WARS DARK TIMES FIRE CARRIER #2 (C: 1-0-0)	3/6/2013	SRP: $2.99	 = $
	JAN13 0112	STAR WARS DAWN O/T JEDI PRISONER OF BOGAN #5 (OF 5) (C: 1-1-2)	5/22/2013	SRP: $2.99	 = $
PAGE 71					
	JAN13 0113	STAR WARS #3 (C: 1-0-0)	3/13/2013	SRP: $2.99	 = $
PAGE 72					
	JAN13 0114	STAR WARS DARTH MAUL DEATH SENTENCE TP (C: 0-1-2)	5/22/2013	SRP: $15.99	 = $
	JAN13 0115	STAR WARS OMNIBUS WILD SPACE TP VOL 01 (C: 0-1-2)	5/29/2013	SRP: $24.99	 = $
PAGE 73					
	JAN13 0116	DRAGON RESURRECTION GN (C: 0-1-2)	5/15/2013	SRP: $17.99	 = $
PAGE 74					
	JAN13 0117	FREAKS AMOUR GN (C: 0-1-2)	5/15/2013	SRP: $17.99	 = $
PAGE 75					
	JAN13 0118	EMILY & THE STRANGERS #3 (OF 3) MAIN CVR	3/27/2013	SRP: $3.99	 = $
PAGE 76					
SPOT	JAN13 0120	MANARA LIBRARY HC VOL 05 (MR) (C: 0-1-2)	5/8/2013	SRP: $59.99	 = $
PAGE 77					
	JAN13 0121	EERIE ARCHIVES HC VOL 13 (C: 0-1-2)	5/22/2013	SRP: $49.99	 = $
	JAN13 0122	KORAK SON OF TARZAN ARCHIVES HC VOL 01 (C: 0-1-2)	5/1/2013	SRP: $49.99	 = $
PAGE 78					
	JAN13 0123	TRIGUN MAXIMUM OMNIBUS TP VOL 03 (C: 0-1-2)	5/15/2013	SRP: $19.99	 = $
PAGE 79					
SPOT	JAN13 0124	LONE WOLF & CUB OMNIBUS TP VOL 01 (C: 0-1-2)	5/22/2013	SRP: $19.99	 = $
PAGE 80					
	JAN13 0125	DARK HORSE WOMENS ADULT T/S SM	3/6/2013	SRP: $24.99	 = $
	JAN13 0126	DARK HORSE WOMENS ADULT T/S MED	3/6/2013	SRP: $24.99	 = $
	JAN13 0127	DARK HORSE WOMENS ADULT T/S LG	3/6/2013	SRP: $24.99	 = $
	JAN13 0128	DARK HORSE WOMENS ADULT T/S XL	3/6/2013	SRP: $24.99	 = $
OA	JAN13 0129	DARK HORSE NEW LOGO T/S MED (O/A)	3/6/2013	SRP: $19.99	 = $
OA	JAN13 0130	DARK HORSE NEW LOGO T/S LG (O/A)	3/6/2013	SRP: $19.99	 = $
OA	JAN13 0131	DARK HORSE NEW LOGO T/S XL (O/A)	3/6/2013	SRP: $19.99	 = $
OA	JAN13 0132	DARK HORSE NEW LOGO T/S XXL (O/A)	3/6/2013	SRP: $19.99	 = $
	JAN13 0133	BALTIMORE MENS ADULT T/S MED	3/6/2013	SRP: $19.99	 = $
	JAN13 0134	BALTIMORE MENS ADULT T/S LG	3/6/2013	SRP: $19.99	 = $
	JAN13 0135	BALTIMORE MENS ADULT T/S XL	3/6/2013	SRP: $19.99	 = $
	JAN13 0136	BALTIMORE MENS ADULT T/S XXL	3/6/2013	SRP: $19.99	 = $
PAGE 81					
	JAN13 0137	MASS EFFECT ALLIANCE NORMANDY SR1 SHIP REPLICA	7/17/2013	SRP: $34.99	 = $
	JAN13 0138	MASS EFFECT ALLIANCE NORMANDY SR1 SHIP REPLICA SILVER VAR	7/17/2013	SRP: $49.99	 = $
PAGE 82					
	JAN13 0139	GAME OF THRONES SHIELD PIN LANNISTER (C: 1-1-2)	5/15/2013	SRP: $14.99	 = $
SS	JAN13 0140	GAME OF THRONES COASTER SET HOUSE SIGIL (JAN120134) (C: 1-0-0)	3/6/2013	SRP: $9.99	 = $
SS	JAN13 0141	GAME OF THRONES COFFEE MUG BARATHEON (FEB120078) (C: 1-0-0)	3/6/2013	SRP: $12.99	 = $
SS	JAN13 0142	GAME OF THRONES COFFEE MUG GREYJOY (APR120056) (C: 1-0-0)	3/6/2013	SRP: $12.99	 = $
SS	JAN13 0143	GAME OF THRONES COFFEE MUG LANNISTER (FEB120077) (C: 1-0-0)	3/6/2013	SRP: $12.99	 = $
SS	JAN13 0144	GAME OF THRONES COFFEE MUG STARK (JAN120132) (C: 1-0-0)	3/6/2013	SRP: $12.99	 = $
SS	JAN13 0145	GAME OF THRONES COFFEE MUG TARGARYEN (JAN120133) (C: 1-0-0)	3/6/2013	SRP: $12.99	 = $
