PREVIEWS JULY VOL. 23 #7

PAGE 24					
PREVIEWS PUBLICATIONS					
FI	JUL13 0001	PREVIEWS #300 SEPTEMBER 2013 (Net)	8/28/2013	MSRP: $4.50	 = $
FI	JUL13 0002	MARVEL PREVIEWS SEPTEMBER 2013 EXTRAS (Net)	8/28/2013	MSRP: $1.25	 = $
FI	JUL13 0003	PREVIEWS #300 SEPTEMBER 2013 CUSTOMER ORDER FORM (Net)	8/28/2013	SRP: PI	 = $
PAGE 30					
PREMIER PUBLISHERS					
DARK HORSE					
GEM	JUL13 0008	STAR WARS #1 (OF 8) LUCAS DRAFT (C: 1-0-0)	9/4/2013	SRP: $3.99	 = $
PAGE 32					
SPOT	JUL13 0011	STAR WARS #9 2013 ONGOING (C: 1-0-0)	9/11/2013	SRP: $2.99	 = $
PAGE 33					
	JUL13 0012	STAR WARS DARK TIMES SPARK REMAINS #3 (OF 5) (C: 1-0-0)	9/18/2013	SRP: $3.50	 = $
	JUL13 0013	STAR WARS DARTH VARDER NINTH ASSASSIN HC (C: 1-1-2)	11/27/2013	SRP: $24.99	 = $
PAGE 34					
	JUL13 0014	STAR WARS LEGACY #7 (C: 1-0-0)	9/25/2013	SRP: $2.99	 = $
SPOT	JUL13 0015	STAR WARS LEGACY II TP VOL 01 PRISONER O/T FLOATING WORLD (C: 1-1-2)	11/20/2013	SRP: $19.99	 = $
PAGE 35					
SPOT	JUL13 0016	FIFTH BEATLE THE BRIAN EPSTEIN STORY HC (C: 0-1-2)	11/20/2013	SRP: $19.99	 = $
SPOT	JUL13 0017	FIFTH BEATLE THE BRIAN EPSTEIN STORY COLLECTORS ED HC (C: 0-1-2)	11/20/2013	SRP: $49.99	 = $
SPOT	JUL13 0018	FIFTH BEATLE THE BRIAN EPSTEIN STORY LTD ED HC (C: 0-1-2)	11/20/2013	SRP: $99.99	 = $
PAGE 36					
	JUL13 0019	MASS EFFECT FOUNDATION #3	9/25/2013	SRP: $3.99	 = $
SS	JUL13 0020	ART OF THE MASS EFFECT UNIVERSE HC (OCT110031)	8/14/2013	SRP: $39.99	 = $
SS	JUL13 0021	MASS EFFECT TP VOL 01 REDEMPTION (FEB100024)	8/21/2013	SRP: $16.99	 = $
SS	JUL13 0022	MASS EFFECT TP VOL 02 EVOLUTION (JUN110029)	8/14/2013	SRP: $16.99	 = $
SS	JUL13 0023	MASS EFFECT TP VOL 03 INVASION (DEC110063)	8/21/2013	SRP: $16.99	 = $
SS	JUL13 0024	MASS EFFECT TP VOL 04 HOMEWORLDS (JUL120035)	8/14/2013	SRP: $16.99	 = $
PAGE 37					
SPOT	JUL13 0025	AKANEIRO HC (C: 0-1-2)	11/6/2013	SRP: $14.99	 = $
	JUL13 0026	HALO INITIATION #2 (OF 3) MAIN CVR	9/11/2013	SRP: $3.99	 = $
PAGE 38					
SPOT	JUL13 0027	PLANTS VS ZOMBIES HC LAWNMAGEDDON (C: 0-1-2)	11/6/2013	SRP: $9.99	 = $
PAGE 39					
SPOT	JUL13 0028	COLOSSAL CONAN HC (C: 0-1-2)	11/13/2013	SRP: $150.00	 = $
PAGE 40					
	JUL13 0029	KING CONAN HOUR O/T DRAGON #5 (OF 6)	9/25/2013	SRP: $3.50	 = $
	JUL13 0030	ROBERT E HOWARDS SAVAGE SWORD #7 (C: 0-1-2)	11/27/2013	SRP: $7.99	 = $
PAGE 41					
	JUL13 0031	CONAN THE BARBARIAN #20	9/18/2013	SRP: $3.50	 = $
	JUL13 0032	CHRONICLES OF CONAN TP VOL 25 EXODUS (C: 0-1-2)	11/6/2013	SRP: $19.99	 = $
PAGE 42					
SPOT	JUL13 0033	VIOLENT CASES HC (C: 0-1-2)	11/13/2013	SRP: $24.99	 = $
SS	JUL13 0034	HARLEQUIN VALENTINE HC NEW PTG (APR108111)	8/14/2013	SRP: $12.99	 = $
SS	JUL13 0035	FACTS I/T CASE O/T DEPARTURE OF MIFINCH HC (JUN070038)	8/21/2013	SRP: $13.95	 = $
SS	JUL13 0036	PICTURES THAT TICK TP (MAY090070)	8/14/2013	SRP: $19.95	 = $
PAGE 44					
GEM	JUL13 0037	KISS ME SATAN #1 (OF 5) MAIN CVR	9/18/2013	SRP: $3.99	 = $
PAGE 46					
SPOT	JUL13 0039	BALTIMORE INFERNAL TRAIN #1 (OF 3)	9/4/2013	SRP: $3.50	 = $
	JUL13 0040	BALTIMORE HC VOL 03 PASSING STRANGER & STORIES (C: 0-1-2)	11/20/2013	SRP: $24.99	 = $
PAGE 47					
SPOT	JUL13 0041	BPRD HELL ON EARTH #111	9/18/2013	SRP: $3.50	 = $
	JUL13 0042	BPRD VAMPIRE TP (C: 0-1-2)	11/27/2013	SRP: $19.99	 = $
PAGE 48					
SPOT	JUL13 0043	CRIMINAL MACABRE EYES OF FRANKENSTEIN #1 (OF 4)	9/25/2013	SRP: $3.99	 = $
PAGE 49					
