row_num	file_name	pvh_id	pvl_id	pvl_seq	pg_nbr	hdg_lvl	dup_pvl_id	line_text	indent
1	JAN09.txt	1	2	2	30	1		PREVIEWS PUBLICATIONS	PREVIEWS PUBLICATIONS
2	JAN09.txt	1	3	3	30	2		FREE COMIC BOOK DAY	----FREE COMIC BOOK DAY
3	JAN09.txt	1	28	28	36	1		PREMIER PUBLISHERS	PREMIER PUBLISHERS
4	JAN09.txt	1	29	29	36	2		DARK HORSE	----DARK HORSE
5	JAN09.txt	1	147	147	73	2		DC COMICS	----DC COMICS
6	JAN09.txt	1	148	148	73	3		DC UNIVERSE: SPECIAL EVENT	--------DC UNIVERSE: SPECIAL EVENT
7	JAN09.txt	1	156	156	75	3		DC UNIVERSE: BATMAN	--------DC UNIVERSE: BATMAN
8	JAN09.txt	1	172	172	82	3		DC UNIVERSE: SUPERMAN	--------DC UNIVERSE: SUPERMAN
9	JAN09.txt	1	182	182	87	3		DC UNIVERSE	--------DC UNIVERSE
10	JAN09.txt	1	237	237	105	3		JOHNNY DC	--------JOHNNY DC
11	JAN09.txt	1	252	252	109	3		WILDSTORM	--------WILDSTORM
12	JAN09.txt	1	283	283	119	3		VERTIGO	--------VERTIGO
13	JAN09.txt	1	308	308	128	3		CMX	--------CMX
14	JAN09.txt	1	321	321	135	3		DC DIRECT	--------DC DIRECT
15	JAN09.txt	1	354	354	146	3		DC COMICS BACKLIST	--------DC COMICS BACKLIST
16	JAN09.txt	1	355	355	146	4		DC UNIVERSE: BATMAN	------------DC UNIVERSE: BATMAN
17	JAN09.txt	1	547	547	146	4		DC UNIVERSE: SUPERMAN	------------DC UNIVERSE: SUPERMAN
18	JAN09.txt	1	648	648	146	4		DC UNIVERSE	------------DC UNIVERSE
19	JAN09.txt	1	1113	1113	146	4		DC UNIVERSE: ARCHIVES	------------DC UNIVERSE: ARCHIVES
20	JAN09.txt	1	1264	1264	146	4		MAD MAGAZINE	------------MAD MAGAZINE
21	JAN09.txt	1	1276	1276	146	4		DC: BEYOND THE UNIVERSE	------------DC: BEYOND THE UNIVERSE
22	JAN09.txt	1	1326	1326	146	4		PARADOX PRESS	------------PARADOX PRESS
23	JAN09.txt	1	1345	1345	146	4		THE WILL EISNER LIBRARY	------------THE WILL EISNER LIBRARY
24	JAN09.txt	1	1373	1373	146	4		2000 AD	------------2000 AD
25	JAN09.txt	1	1400	1400	146	4		CMX	------------CMX
26	JAN09.txt	1	1741	1741	146	4		WILDSTORM	------------WILDSTORM
27	JAN09.txt	1	1869	1869	146	4		AMERICA'S BEST COMICS	------------AMERICA'S BEST COMICS
28	JAN09.txt	1	1901	1901	146	4		CLIFFHANGER	------------CLIFFHANGER
29	JAN09.txt	1	1914	1914	146	4		HOMAGE COMICS	------------HOMAGE COMICS
30	JAN09.txt	1	1924	1924	146		1400	CMX	
31	JAN09.txt	1	1937	1937	146	4		VERTIGO	------------VERTIGO
32	JAN09.txt	1	2244	2244	146	4		DC DIRECT	------------DC DIRECT
33	JAN09.txt	1	2333	2333	148	2		IMAGE COMICS	----IMAGE COMICS
34	JAN09.txt	1	2399	2399	168	3		MCFARLANE TOYS	--------MCFARLANE TOYS
35	JAN09.txt	1	2408	2408	174	3		SHADOWLINE	--------SHADOWLINE
36	JAN09.txt	1	2416	2416	178	3		TOP COW PRODUCTIONS	--------TOP COW PRODUCTIONS
37	JAN09.txt	1	2444	2444	4	2		MARVEL COMICS	----MARVEL COMICS
38	JAN09.txt	1	2708	2708	120	3		MARVEL COMICS BACKLIST	--------MARVEL COMICS BACKLIST
39	JAN09.txt	1	2709	2709	120	4		MARVEL MASTERWORKS	------------MARVEL MASTERWORKS
